name,t_cases,n_cases,t_deaths,n_deaths,t_recovered,active_cases,serious_condition,n_test,Continent,last_updated_on_website,time_date_now
Somalia,80,+20,5 ,+3,2,73,2,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Gabon,80,+23,1 ,,4,75,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Liechtenstein,79,,1 ,,55,23,,900,Europe,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Myanmar,74,+11,4 ,,2,68,,"2,836",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Barbados,73,,5 ,,15,53,4,864,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Liberia,59,,6 ,,4,49,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Bermuda,57,,5 ,,30,22,3,416,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Cabo Verde,56,+45,1 ,,1,54,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
French Polynesia,55,, ,,,55,1,920,Australia/Oceania,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Uganda,55,, ,,12,43,,"6,661",Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Cayman Islands,54,,1 ,,6,47,3,580,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Sint Maarten,53,+1,9 ,,5,39,2,157,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Equatorial Guinea,51,+10, ,,4,47,,854,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Bahamas,49,,8 ,,6,35,1,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Guyana,48,+1,6 ,,8,34,5,213,South America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Zambia,48,+3,2 ,,30,16,1,"1,696",Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Macao,45,, ,,15,30,1,,Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Guinea-Bissau,43,, ,,,43,,"1,500",Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Haiti,41,+1,3 ,,,38,,365,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Saint Martin,35,+3,2 ,,13,20,5,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Benin,35,,1 ,,18,16,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Libya,35,,1 ,,9,25,,570,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Eritrea,35,, ,,,35,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Syria,33,+4,2 ,,5,26,,,Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Sudan,32,,5 ,,4,23,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Mongolia,30,, ,,5,25,,"1,000",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Mozambique,29,+1, ,,2,27,,793,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Antigua and Barbuda,23,,2 ,,3,18,1,73,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Chad,23,, ,,2,21,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Maldives,22,+2, ,,16,6,,"2,899",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Angola,19,,2 ,,5,12,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Laos,19,, ,,1,18,,"1,235",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Zimbabwe,18,+1,3 ,,1,14,,665,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Belize,18,,2 ,,,16,1,567,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
New Caledonia,18,, ,,1,17,,"2,608",Australia/Oceania,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Malawi,16,,2 ,,,14,1,343,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Nepal,16,, ,,1,15,,"6,299",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Dominica,16,, ,,8,8,,345,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Fiji,16,, ,,,16,,,Australia/Oceania,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Namibia,16,, ,,3,13,,362,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Saint Lucia,15,, ,,11,4,,319,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Eswatini,15,, ,,8,7,,714,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Cura�ao,14,,1 ,,10,3,,230,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Grenada,14,, ,,,14,2,92,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Saint Kitts and Nevis,14,, ,,,14,,234,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Botswana,13,,1 ,,,12,,"3,115",Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Sierra Leone,13,+2, ,,,13,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
CAR,12,+1, ,,4,8,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
St. Vincent Grenadines,12,, ,,1,11,,87,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Falkland Islands,11,, ,,1,10,,137,South America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Greenland,11,, ,,11,0,,912,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Montserrat,11,, ,,1,10,1,36,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Seychelles,11,, ,,,11,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Suriname,10,,1 ,,6,3,,,South America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Turks and Caicos,10,,1 ,,,9,,71,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
MS Zaandam,9,,2 ,,,7,,,,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Gambia,9,,1 ,,2,6,,281,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Nicaragua,9,,1 ,,4,4,,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Vatican City,8,, ,,2,6,,,Europe,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Timor-Leste,8,+2, ,,1,7,,,Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Mauritania,7,,1 ,,2,4,,593,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
St. Barth,6,, ,,4,2,,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Western Sahara,6,, ,,,6,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Burundi,5,,1 ,,,4,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Bhutan,5,, ,,2,3,,"1,166",Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Sao Tome and Principe,4,, ,,,4,,19,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
South Sudan,4,, ,,,4,,,Africa,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Anguilla,3,, ,,1,2,,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
British Virgin Islands,3,, ,,2,1,,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Caribbean Netherlands,3,, ,,,3,,10,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Papua New Guinea,2,, ,,,2,,72,Australia/Oceania,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Saint Pierre Miquelon,1,, ,,,1,,,North America,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
Yemen,1,, ,,,1,,,Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
China,"82,295",+46,"3,342 ",+1,"77,816","1,137",113,,Asia,"April 15, 2020, 20:11 GMT",2020-04-15 16:12:02.995180
